N,Año,Nombre_Mes,Mes,Dia,Mes-Dia,Fecha 2,Fecha,Jackpots
1,2025,Set,9,6,Set-6,2025-Set-6,6/09/2025,84
2,2025,Ago,8,30,Ago-30,2025-Ago-30,30/08/2025,61
3,2025,Ago,8,23,Ago-23,2025-Ago-23,23/08/2025,113
4,2025,Ago,8,16,Ago-16,2025-Ago-16,16/08/2025,65
5,2025,Ago,8,9,Ago-9,2025-Ago-9,9/08/2025,84
6,2025,Ago,8,2,Ago-2,2025-Ago-2,2/08/2025,90
7,2025,Jul,7,26,Jul-26,2025-Jul-26,26/07/2025,164
8,2025,Jul,7,19,Jul-19,2025-Jul-19,19/07/2025,53
9,2025,Jul,7,12,Jul-12,2025-Jul-12,12/07/2025,70
10,2025,Jul,7,5,Jul-5,2025-Jul-5,5/07/2025,95
11,2025,Jun,6,28,Jun-28,2025-Jun-28,28/06/2025,109
12,2025,Jun,6,21,Jun-21,2025-Jun-21,21/06/2025,93
13,2025,Jun,6,14,Jun-14,2025-Jun-14,14/06/2025,60
14,2025,Jun,6,7,Jun-7,2025-Jun-7,7/06/2025,55
15,2025,May,5,31,May-31,2025-May-31,31/05/2025,83
16,2025,May,5,24,May-24,2025-May-24,24/05/2025,105
17,2025,May,5,17,May-17,2025-May-17,17/05/2025,62
18,2025,May,5,10,May-10,2025-May-10,10/05/2025,47
19,2025,May,5,3,May-3,2025-May-3,3/05/2025,57
20,2025,Abr,4,26,Abr-26,2025-Abr-26,26/04/2025,61
21,2025,Abr,4,19,Abr-19,2025-Abr-19,19/04/2025,65
22,2025,Abr,4,12,Abr-12,2025-Abr-12,12/04/2025,97
23,2025,Abr,4,5,Abr-5,2025-Abr-5,5/04/2025,67
24,2025,Mar,3,29,Mar-29,2025-Mar-29,29/03/2025,115
25,2025,Mar,3,22,Mar-22,2025-Mar-22,22/03/2025,54
26,2025,Mar,3,15,Mar-15,2025-Mar-15,15/03/2025,74
27,2025,Mar,3,8,Mar-8,2025-Mar-8,8/03/2025,47
28,2025,Mar,3,1,Mar-1,2025-Mar-1,1/03/2025,73
29,2025,Feb,2,22,Feb-22,2025-Feb-22,22/02/2025,70
30,2025,Feb,2,15,Feb-15,2025-Feb-15,15/02/2025,78
31,2025,Feb,2,8,Feb-8,2025-Feb-8,8/02/2025,61
32,2025,Feb,2,1,Feb-1,2025-Feb-1,1/02/2025,72
33,2025,Ene,1,25,Ene-25,2025-Ene-25,25/01/2025,59
34,2025,Ene,1,18,Ene-18,2025-Ene-18,18/01/2025,48
35,2025,Ene,1,11,Ene-11,2025-Ene-11,11/01/2025,65
36,2025,Ene,1,4,Ene-4,2025-Ene-4,4/01/2025,51
37,2024,Dic,12,28,Dic-28,2024-Dic-28,28/12/2024,65
38,2024,Dic,12,21,Dic-21,2024-Dic-21,21/12/2024,32
39,2024,Dic,12,14,Dic-14,2024-Dic-14,14/12/2024,40
40,2024,Dic,12,7,Dic-7,2024-Dic-7,7/12/2024,46
41,2024,Nov,11,30,Nov-30,2024-Nov-30,30/11/2024,51
42,2024,Nov,11,23,Nov-23,2024-Nov-23,23/11/2024,51
43,2024,Nov,11,16,Nov-16,2024-Nov-16,16/11/2024,68
44,2024,Nov,11,9,Nov-9,2024-Nov-9,9/11/2024,51
45,2024,Nov,11,2,Nov-2,2024-Nov-2,2/11/2024,45
46,2024,Oct,10,26,Oct-26,2024-Oct-26,26/10/2024,64
47,2024,Oct,10,19,Oct-19,2024-Oct-19,19/10/2024,34
48,2024,Oct,10,12,Oct-12,2024-Oct-12,12/10/2024,35
49,2024,Oct,10,5,Oct-5,2024-Oct-5,5/10/2024,37
50,2024,Set,9,28,Set-28,2024-Set-28,28/09/2024,55
51,2024,Set,9,21,Set-21,2024-Set-21,21/09/2024,50
52,2024,Set,9,14,Set-14,2024-Set-14,14/09/2024,49
53,2024,Set,9,7,Set-7,2024-Set-7,7/09/2024,40
54,2024,Ago,8,31,Ago-31,2024-Ago-31,31/08/2024,78
55,2024,Ago,8,24,Ago-24,2024-Ago-24,24/08/2024,29
56,2024,Ago,8,17,Ago-17,2024-Ago-17,17/08/2024,38
57,2024,Ago,8,10,Ago-10,2024-Ago-10,10/08/2024,47
58,2024,Ago,8,3,Ago-3,2024-Ago-3,3/08/2024,35
59,2024,Jul,7,27,Jul-27,2024-Jul-27,27/07/2024,35
60,2024,Jul,7,20,Jul-20,2024-Jul-20,20/07/2024,43
61,2024,Jul,7,13,Jul-13,2024-Jul-13,13/07/2024,41
62,2024,Jul,7,6,Jul-6,2024-Jul-6,6/07/2024,46
63,2024,Jun,6,29,Jun-29,2024-Jun-29,29/06/2024,26
64,2024,Jun,6,22,Jun-22,2024-Jun-22,22/06/2024,39
65,2024,Jun,6,15,Jun-15,2024-Jun-15,15/06/2024,44
66,2024,Jun,6,8,Jun-8,2024-Jun-8,8/06/2024,35
67,2024,Jun,6,1,Jun-1,2024-Jun-1,1/06/2024,57
68,2024,May,5,25,May-25,2024-May-25,25/05/2024,44
69,2024,May,5,18,May-18,2024-May-18,18/05/2024,43
70,2024,May,5,11,May-11,2024-May-11,11/05/2024,33
71,2024,May,5,4,May-4,2024-May-4,4/05/2024,49
72,2024,Abr,4,27,Abr-27,2024-Abr-27,27/04/2024,31
73,2024,Abr,4,20,Abr-20,2024-Abr-20,20/04/2024,46
74,2024,Abr,4,13,Abr-13,2024-Abr-13,13/04/2024,37
75,2024,Abr,4,6,Abr-6,2024-Abr-6,6/04/2024,32
76,2024,Mar,3,30,Mar-30,2024-Mar-30,30/03/2024,45
77,2024,Mar,3,23,Mar-23,2024-Mar-23,23/03/2024,42
78,2024,Mar,3,16,Mar-16,2024-Mar-16,16/03/2024,59
79,2024,Mar,3,9,Mar-9,2024-Mar-9,9/03/2024,67
80,2024,Mar,3,2,Mar-2,2024-Mar-2,2/03/2024,49
81,2024,Feb,2,24,Feb-24,2024-Feb-24,24/02/2024,60
82,2024,Feb,2,17,Feb-17,2024-Feb-17,17/02/2024,47
83,2024,Feb,2,10,Feb-10,2024-Feb-10,10/02/2024,49
84,2024,Feb,2,3,Feb-3,2024-Feb-3,3/02/2024,56
85,2024,Ene,1,27,Ene-27,2024-Ene-27,27/01/2024,35
86,2024,Ene,1,20,Ene-20,2024-Ene-20,20/01/2024,48
87,2024,Ene,1,13,Ene-13,2024-Ene-13,13/01/2024,37
88,2024,Ene,1,6,Ene-6,2024-Ene-6,6/01/2024,39
89,2023,Dic,12,30,Dic-30,2023-Dic-30,30/12/2023,50
90,2023,Dic,12,23,Dic-23,2023-Dic-23,23/12/2023,34
91,2023,Dic,12,16,Dic-16,2023-Dic-16,16/12/2023,52
92,2023,Dic,12,9,Dic-9,2023-Dic-9,9/12/2023,42
93,2023,Dic,12,2,Dic-2,2023-Dic-2,2/12/2023,32
94,2023,Nov,11,25,Nov-25,2023-Nov-25,25/11/2023,34
95,2023,Nov,11,18,Nov-18,2023-Nov-18,18/11/2023,66
96,2023,Nov,11,11,Nov-11,2023-Nov-11,11/11/2023,43
97,2023,Nov,11,4,Nov-4,2023-Nov-4,4/11/2023,47
98,2023,Oct,10,28,Oct-28,2023-Oct-28,28/10/2023,33
99,2023,Oct,10,21,Oct-21,2023-Oct-21,21/10/2023,60
100,2023,Oct,10,14,Oct-14,2023-Oct-14,14/10/2023,61
101,2023,Oct,10,7,Oct-7,2023-Oct-7,7/10/2023,60
102,2023,Set,9,30,Set-30,2023-Set-30,30/09/2023,51
103,2023,Set,9,23,Set-23,2023-Set-23,23/09/2023,50
104,2023,Set,9,16,Set-16,2023-Set-16,16/09/2023,39
105,2023,Set,9,9,Set-9,2023-Set-9,9/09/2023,49
106,2023,Set,9,2,Set-2,2023-Set-2,2/09/2023,39
107,2023,Ago,8,26,Ago-26,2023-Ago-26,26/08/2023,45
108,2023,Ago,8,19,Ago-19,2023-Ago-19,19/08/2023,39
109,2023,Ago,8,12,Ago-12,2023-Ago-12,12/08/2023,54
110,2023,Ago,8,5,Ago-5,2023-Ago-5,5/08/2023,62
111,2023,Jul,7,29,Jul-29,2023-Jul-29,29/07/2023,47
112,2023,Jul,7,22,Jul-22,2023-Jul-22,22/07/2023,41
113,2023,Jul,7,15,Jul-15,2023-Jul-15,15/07/2023,49
114,2023,Jul,7,8,Jul-8,2023-Jul-8,8/07/2023,55
115,2023,Jul,7,1,Jul-1,2023-Jul-1,1/07/2023,67
116,2023,Jun,6,24,Jun-24,2023-Jun-24,24/06/2023,54
117,2023,Jun,6,17,Jun-17,2023-Jun-17,17/06/2023,40
118,2023,Jun,6,10,Jun-10,2023-Jun-10,10/06/2023,57
119,2023,Jun,6,3,Jun-3,2023-Jun-3,3/06/2023,42
120,2023,May,5,27,May-27,2023-May-27,27/05/2023,42
121,2023,May,5,20,May-20,2023-May-20,20/05/2023,53
122,2023,May,5,13,May-13,2023-May-13,13/05/2023,33
123,2023,May,5,6,May-6,2023-May-6,6/05/2023,61
124,2023,Abr,4,29,Abr-29,2023-Abr-29,29/04/2023,42
125,2023,Abr,4,22,Abr-22,2023-Abr-22,22/04/2023,51
126,2023,Abr,4,15,Abr-15,2023-Abr-15,15/04/2023,47
127,2023,Abr,4,8,Abr-8,2023-Abr-8,8/04/2023,102
128,2023,Abr,4,1,Abr-1,2023-Abr-1,1/04/2023,31
129,2023,Mar,3,25,Mar-25,2023-Mar-25,25/03/2023,54
130,2023,Mar,3,18,Mar-18,2023-Mar-18,18/03/2023,45
131,2023,Mar,3,11,Mar-11,2023-Mar-11,11/03/2023,28
132,2023,Mar,3,4,Mar-4,2023-Mar-4,4/03/2023,48
133,2023,Feb,2,25,Feb-25,2023-Feb-25,25/02/2023,56
134,2023,Feb,2,18,Feb-18,2023-Feb-18,18/02/2023,37
135,2023,Feb,2,11,Feb-11,2023-Feb-11,11/02/2023,47
136,2023,Feb,2,4,Feb-4,2023-Feb-4,4/02/2023,39
137,2023,Ene,1,28,Ene-28,2023-Ene-28,28/01/2023,40
138,2023,Ene,1,21,Ene-21,2023-Ene-21,21/01/2023,35
139,2023,Ene,1,14,Ene-14,2023-Ene-14,14/01/2023,44
140,2023,Ene,1,7,Ene-7,2023-Ene-7,7/01/2023,45
141,2022,Dic,12,31,Dic-31,2022-Dic-31,31/12/2022,38
142,2022,Dic,12,24,Dic-24,2022-Dic-24,24/12/2022,11
143,2022,Dic,12,17,Dic-17,2022-Dic-17,17/12/2022,32
144,2022,Dic,12,10,Dic-10,2022-Dic-10,10/12/2022,36
145,2022,Dic,12,3,Dic-3,2022-Dic-3,3/12/2022,31
146,2022,Nov,11,26,Nov-26,2022-Nov-26,26/11/2022,68
147,2022,Nov,11,19,Nov-19,2022-Nov-19,19/11/2022,25
148,2022,Nov,11,12,Nov-12,2022-Nov-12,12/11/2022,45
149,2022,Nov,11,5,Nov-5,2022-Nov-5,5/11/2022,48
150,2022,Oct,10,29,Oct-29,2022-Oct-29,29/10/2022,52
151,2022,Oct,10,22,Oct-22,2022-Oct-22,22/10/2022,44
152,2022,Oct,10,15,Oct-15,2022-Oct-15,15/10/2022,46
153,2022,Oct,10,8,Oct-8,2022-Oct-8,8/10/2022,53
154,2022,Oct,10,1,Oct-1,2022-Oct-1,1/10/2022,44
155,2022,Set,9,24,Set-24,2022-Set-24,24/09/2022,54
156,2022,Set,9,17,Set-17,2022-Set-17,17/09/2022,37
157,2022,Set,9,10,Set-10,2022-Set-10,10/09/2022,28
158,2022,Set,9,3,Set-3,2022-Set-3,3/09/2022,30
159,2022,Ago,8,27,Ago-27,2022-Ago-27,27/08/2022,57
160,2022,Ago,8,20,Ago-20,2022-Ago-20,20/08/2022,40
161,2022,Ago,8,13,Ago-13,2022-Ago-13,13/08/2022,60
162,2022,Ago,8,6,Ago-6,2022-Ago-6,6/08/2022,38
163,2022,Jul,7,30,Jul-30,2022-Jul-30,30/07/2022,33
164,2022,Jul,7,23,Jul-23,2022-Jul-23,23/07/2022,28
165,2022,Jul,7,16,Jul-16,2022-Jul-16,16/07/2022,48
166,2022,Jul,7,9,Jul-9,2022-Jul-9,9/07/2022,41
167,2022,Jul,7,2,Jul-2,2022-Jul-2,2/07/2022,35
168,2022,Jun,6,25,Jun-25,2022-Jun-25,25/06/2022,88
169,2022,Jun,6,18,Jun-18,2022-Jun-18,18/06/2022,46
170,2022,Jun,6,11,Jun-11,2022-Jun-11,11/06/2022,46
171,2022,Jun,6,4,Jun-4,2022-Jun-4,4/06/2022,28
172,2022,May,5,28,May-28,2022-May-28,28/05/2022,36
173,2022,May,5,21,May-21,2022-May-21,21/05/2022,35
174,2022,May,5,14,May-14,2022-May-14,14/05/2022,41
175,2022,May,5,7,May-7,2022-May-7,7/05/2022,45
176,2022,Abr,4,30,Abr-30,2022-Abr-30,30/04/2022,34
177,2022,Abr,4,23,Abr-23,2022-Abr-23,23/04/2022,44
178,2022,Abr,4,16,Abr-16,2022-Abr-16,16/04/2022,16
179,2022,Abr,4,9,Abr-9,2022-Abr-9,9/04/2022,44
180,2022,Abr,4,2,Abr-2,2022-Abr-2,2/04/2022,44
181,2022,Mar,3,26,Mar-26,2022-Mar-26,26/03/2022,62
182,2022,Mar,3,19,Mar-19,2022-Mar-19,19/03/2022,46
183,2022,Mar,3,12,Mar-12,2022-Mar-12,12/03/2022,68
184,2022,Mar,3,5,Mar-5,2022-Mar-5,5/03/2022,57
185,2022,Feb,2,26,Feb-26,2022-Feb-26,26/02/2022,42
186,2022,Feb,2,19,Feb-19,2022-Feb-19,19/02/2022,53
187,2022,Feb,2,12,Feb-12,2022-Feb-12,12/02/2022,36
188,2022,Feb,2,5,Feb-5,2022-Feb-5,5/02/2022,47
189,2022,Ene,1,29,Ene-29,2022-Ene-29,29/01/2022,59
190,2022,Ene,1,22,Ene-22,2022-Ene-22,22/01/2022,36
191,2022,Ene,1,15,Ene-15,2022-Ene-15,15/01/2022,32
192,2022,Ene,1,8,Ene-8,2022-Ene-8,8/01/2022,46
193,2022,Ene,1,1,Ene-1,2022-Ene-1,1/01/2022,31
194,2021,Dic,12,25,Dic-25,2021-Dic-25,25/12/2021,52
195,2021,Dic,12,18,Dic-18,2021-Dic-18,18/12/2021,30
196,2021,Dic,12,11,Dic-11,2021-Dic-11,11/12/2021,51
197,2021,Dic,12,4,Dic-4,2021-Dic-4,4/12/2021,53
198,2021,Nov,11,27,Nov-27,2021-Nov-27,27/11/2021,41
199,2021,Nov,11,20,Nov-20,2021-Nov-20,20/11/2021,33
200,2021,Nov,11,13,Nov-13,2021-Nov-13,13/11/2021,40
201,2021,Nov,11,6,Nov-6,2021-Nov-6,6/11/2021,37
202,2021,Oct,10,30,Oct-30,2021-Oct-30,30/10/2021,48
203,2021,Oct,10,23,Oct-23,2021-Oct-23,23/10/2021,34
204,2021,Oct,10,16,Oct-16,2021-Oct-16,16/10/2021,35
205,2021,Oct,10,9,Oct-9,2021-Oct-9,9/10/2021,38
206,2021,Oct,10,2,Oct-2,2021-Oct-2,2/10/2021,27
207,2021,Set,9,25,Set-25,2021-Set-25,25/09/2021,45
208,2021,Set,9,18,Set-18,2021-Set-18,18/09/2021,28
209,2021,Set,9,11,Set-11,2021-Set-11,11/09/2021,51
210,2021,Set,9,4,Set-4,2021-Set-4,4/09/2021,28
211,2021,Ago,8,28,Ago-28,2021-Ago-28,28/08/2021,28
212,2021,Ago,8,21,Ago-21,2021-Ago-21,21/08/2021,40
213,2021,Ago,8,14,Ago-14,2021-Ago-14,14/08/2021,26
214,2021,Ago,8,7,Ago-7,2021-Ago-7,7/08/2021,33
215,2021,Jul,7,31,Jul-31,2021-Jul-31,31/07/2021,42
216,2021,Jul,7,24,Jul-24,2021-Jul-24,24/07/2021,22
217,2021,Jul,7,17,Jul-17,2021-Jul-17,17/07/2021,51
218,2021,Jul,7,10,Jul-10,2021-Jul-10,10/07/2021,31
219,2021,Jul,7,3,Jul-3,2021-Jul-3,3/07/2021,37
220,2021,Jun,6,26,Jun-26,2021-Jun-26,26/06/2021,34
221,2021,Jun,6,19,Jun-19,2021-Jun-19,19/06/2021,33
222,2021,Jun,6,12,Jun-12,2021-Jun-12,12/06/2021,53
223,2021,Jun,6,5,Jun-5,2021-Jun-5,5/06/2021,38
224,2021,May,5,29,May-29,2021-May-29,29/05/2021,41
225,2021,May,5,22,May-22,2021-May-22,22/05/2021,32
226,2021,May,5,15,May-15,2021-May-15,15/05/2021,32
227,2021,May,5,8,May-8,2021-May-8,8/05/2021,21
228,2021,May,5,1,May-1,2021-May-1,1/05/2021,64
229,2021,Abr,4,17,Abr-17,2021-Abr-17,17/04/2021,45
230,2021,Abr,4,10,Abr-10,2021-Abr-10,10/04/2021,42
231,2021,Mar,3,27,Mar-27,2021-Mar-27,27/03/2021,25
232,2021,Mar,3,20,Mar-20,2021-Mar-20,20/03/2021,55
233,2021,Ene,1,30,Ene-30,2021-Ene-30,30/01/2021,67
234,2021,Ene,1,23,Ene-23,2021-Ene-23,23/01/2021,40
235,2021,Ene,1,16,Ene-16,2021-Ene-16,16/01/2021,33
236,2021,Ene,1,9,Ene-9,2021-Ene-9,9/01/2021,44
237,2021,Ene,1,2,Ene-2,2021-Ene-2,2/01/2021,67

